Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
73,EAC,Budongo,Sonso,Individual 49,31.10.18,0.38519,3,2,0.20754,0.177654,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
74,EAC,Budongo,Sonso,Individual 48,31.10.18,0.08546,2,1,0.085459,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
75,EAC,Budongo,Sonso,Individual 49,01.12.18,0.11181,2,1,0.111806,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
76,EAC,Budongo,Sonso,Individual 60,01.12.18,2.5901,15,14,0.081623,0.132825,0.119543,0.534622,0.086337,0.096298,0.146108,0.063092,0.711993,0.249048,0.10294,0.056451,0.05313,0.156086,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling
78,EAC,Budongo,Sonso,Individual 54,18.03.19,0.11684,2,1,0.116844,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,Traveling,Traveling,Traveling
83,EAC,Budongo,Sonso,Individual 55,28.03.19,0.10792,2,1,0.107921,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Traveling,Resting,Traveling
89,EAC,Budongo,Sonso,Individual 48,02.05.19,0.09049,2,1,0.090487,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
92,EAC,Budongo,Sonso,Individual 60,16.06.19,0.38851,3,2,0.182635,0.205879,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
94,EAC,Budongo,Sonso,Individual 49,18.06.19,0.48184,4,3,0.202902,0.122864,0.15607,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
95,EAC,Budongo,Sonso,Individual 49,18.06.19,0.31878,2,1,0.318781,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling
97,EAC,Budongo,Sonso,Individual 57,25.06.19,0.06641,2,1,0.066413,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,Resting,Traveling,Traveling
98,EAC,Budongo,Sonso,Individual 57,25.06.19,0.10294,2,1,0.10294,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Resting,Traveling,Traveling
102,EAC,Budongo,Sonso,Individual 49,02.07.19,1.82465,6,5,0.114517,0.166032,1.281765,0.189276,0.073054,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,Traveling,Traveling,Traveling
106,EAC,Budongo,Sonso,Individual 49,04.07.19,0.91982,6,5,0.132825,0.099619,0.099619,0.435003,0.152749,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling
107,EAC,Budongo,Sonso,Individual 49,04.07.19,0.97209,6,5,0.112041,0.073054,0.498095,0.179314,0.109581,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Resting,Resting,Resting
108,EAC,Budongo,Sonso,Individual 49,05.07.19,0.92978,2,1,0.92978,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Resting,Resting,Resting
118,EAC,Budongo,Sonso,Individual 49,27.07.19,1.1257,8,7,0.136146,0.092978,0.215841,0.132825,0.335384,0.10626,0.10626,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,Resting,Resting,Resting
