Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_beats,N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context
494,EAC,Budongo,Waibira,Individual 85,18.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
495,EAC,Budongo,Waibira,Individual 92,21.02.20,1.00626,8,7,0.10295,0.149444,0.073061,0.215863,0.122876,0.212543,0.129518,,,,,,,,,,,,,,,,,,,,With,Pause,Climax,1,2,NV,NV,Traveling
497,EAC,Budongo,Waibira,Individual 93,21.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
500,EAC,Budongo,Waibira,Individual 86,22.02.20,0.48837,3,2,0.427324,0.061046,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
501,EAC,Budongo,Waibira,Individual 88,22.02.20,0.05738,2,1,0.057377,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
502,EAC,Budongo,Waibira,Individual 77,22.02.20,0.06509,2,1,0.06509,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
504,EAC,Budongo,Waibira,Individual 77,22.02.20,0.07631,2,1,0.076309,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
506,EAC,Budongo,Waibira,Individual 86,22.02.20,0.12447,2,1,0.124472,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
509,EAC,Budongo,Waibira,Individual 79,27.02.20,0.38485,2,1,0.384845,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
510,EAC,Budongo,Waibira,Individual 79,27.02.20,0.55917,2,1,0.559174,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
511,EAC,Budongo,Waibira,Individual 79,27.02.20,0.31153,2,1,0.311531,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
512,EAC,Budongo,Waibira,Individual 79,27.02.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
513,EAC,Budongo,Waibira,Individual 83,28.02.20,1.47104,6,5,0.056451,0.635902,0.060602,0.664957,0.05313,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,NV,NV,Traveling
514,EAC,Budongo,Waibira,Individual 83,28.02.20,1.30833,5,4,0.086337,0.936419,0.119543,0.166032,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,NV,NV,Resting
515,EAC,Budongo,Waibira,Individual 83,28.02.20,0.74716,4,3,0.086449,0.583529,0.077186,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
517,EAC,Budongo,Waibira,Individual 83,28.02.20,0.09764,2,1,0.097636,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Resting
518,EAC,Budongo,Waibira,Individual 83,28.02.20,0.0575,2,1,0.057499,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Resting
519,EAC,Budongo,Waibira,Individual 77,29.02.20,2.09743,9,8,0.18474,0.10294,0.308819,0.05313,0.239086,0.78367,0.242406,0.182635,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
521,EAC,Budongo,Waibira,Individual 82,03.03.20,0.99835,5,4,0.16336,0.054518,0.679872,0.100602,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
523,EAC,Budongo,Waibira,Individual 92,04.03.20,1.99238,12,11,0.132825,0.174333,0.112902,0.15939,0.185956,0.15607,0.169352,0.182635,0.166032,0.25901,0.293876,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
524,EAC,Budongo,Waibira,Individual 83,04.03.20,2.03812,5,4,0.174105,0.051868,1.760469,0.051675,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,NV,NV,Traveling
526,EAC,Budongo,Waibira,Individual 92,04.03.20,0.21916,3,2,0.15441,0.064752,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
528,EAC,Budongo,Waibira,Individual 83,04.03.20,0.05313,2,1,0.05313,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
529,EAC,Budongo,Waibira,Individual 87,04.03.20,0.08359,2,1,0.083585,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
532,EAC,Budongo,Waibira,Individual 85,05.03.20,0.81088,4,3,0.258331,0.47401,0.078544,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
533,EAC,Budongo,Waibira,Individual 87,05.03.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
534,EAC,Budongo,Waibira,Individual 92,06.03.20,3.60074,14,13,0.120782,0.175994,0.043168,0.205879,0.139393,1.269976,0.063092,0.245727,0.249048,0.395156,0.202559,0.116222,0.373738,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,NV,NV,Resting
535,EAC,Budongo,Waibira,Individual 92,06.03.20,1.58062,9,8,0.10294,0.073054,0.119543,0.063092,0.099619,0.05313,0.378552,0.690692,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
536,EAC,Budongo,Waibira,Individual 92,06.03.20,3.1268,5,4,0.264416,2.151772,0.351987,0.358629,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
537,EAC,Budongo,Waibira,Individual 79,06.03.20,0.82553,4,3,0.157501,0.336727,0.331296,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Resting
538,EAC,Budongo,Waibira,Individual 83,06.03.20,0.87665,4,3,0.073054,0.706258,0.097336,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
539,EAC,Budongo,Waibira,Individual 83,06.03.20,0.78985,4,3,0.051529,0.691439,0.046883,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
540,EAC,Budongo,Waibira,Individual 92,06.03.20,0.69069,3,2,0.31297,0.04981,0.327913,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,NV,NV,Traveling
541,EAC,Budongo,Waibira,Individual 93,06.03.20,0.44829,3,2,0.069733,0.378552,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
542,EAC,Budongo,Waibira,Individual 79,06.03.20,0.43654,3,2,0.081655,0.354886,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
543,EAC,Budongo,Waibira,Individual 79,06.03.20,0.61764,3,2,0.375232,0.242406,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
546,EAC,Budongo,Waibira,Individual 88,07.03.20,0.12618,2,1,0.126184,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,Traveling
547,EAC,Budongo,Waibira,Individual 87,07.03.20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
548,EAC,Budongo,Waibira,Individual 83,16.03.20,2.24143,4,3,0.215841,1.899403,0.126184,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Unk,2,0,NV,NV,Resting
549,EAC,Budongo,Waibira,Individual 90,16.03.20,1.13566,3,2,0.129505,1.006152,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Resting
550,EAC,Budongo,Waibira,Individual 77,16.03.20,0.09899,2,1,0.098987,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
551,EAC,Budongo,Waibira,Individual 83,06.06.23,0.0579,2,1,0.057896,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
552,EAC,Budongo,Waibira,Individual 85,07.06.23,0.45634,3,2,0.080187,0.376151,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
555,EAC,Budongo,Waibira,Individual 87,12.06.23,0.65509,5,4,0.244758,0.17517,0.105582,0.129578,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
556,EAC,Budongo,Waibira,Individual 87,12.06.23,0.57419,3,2,0.11448,0.459707,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
557,EAC,Budongo,Waibira,Individual 79,12.06.23,0.41541,3,2,0.099337,0.316072,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
561,EAC,Budongo,Waibira,Individual 77,14.06.23,0.08558,2,1,0.08558,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,resting
562,EAC,Budongo,Waibira,Individual 89,14.06.23,0.32147,3,2,0.072937,0.248528,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
563,EAC,Budongo,Waibira,Individual 83,17.06.23,0.15706,2,1,0.157056,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
567,EAC,Budongo,Waibira,Individual 83,06.07.23,0.19028,3,2,0.116283,0.073998,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
568,EAC,Budongo,Waibira,Individual 81,06.07.23,0.148,2,1,0.147996,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
569,EAC,Budongo,Waibira,Individual 77,06.07.23,0.09473,2,1,0.094725,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,resting
571,EAC,Budongo,Waibira,Individual 85,11.07.23,1.57665,7,6,0.189649,0.081278,0.095867,0.831065,0.278733,0.100058,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,resting
573,EAC,Budongo,Waibira,Individual 86,14.07.23,0.38498,3,2,0.309134,0.075846,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,resting
575,EAC,Budongo,Waibira,Individual 86,19.07.23,0.87069,3,2,0.613486,0.2572,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
576,EAC,Budongo,Waibira,Individual 80,19.07.23,0.08854,3,2,0.044272,0.044272,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
577,EAC,Budongo,Waibira,Individual 77,19.07.23,0.28576,3,2,0.161101,0.124661,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
579,EAC,Budongo,Waibira,Individual 80,24.07.23,0.34556,2,1,0.345561,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
580,EAC,Budongo,Waibira,Individual 80,24.07.23,0.05927,2,1,0.059272,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
581,EAC,Budongo,Waibira,Individual 81,24.07.23,0.09246,2,1,0.092464,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
582,EAC,Budongo,Waibira,Individual 80,24.07.23,0.11368,2,1,0.113682,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
585,EAC,Budongo,Waibira,Individual 80,26.07.23,1.0886,7,6,0.073682,0.240061,0.172917,0.040999,0.166379,0.394556,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
588,WAC,Fongoli,Fongoli,Individual 13,25.06.23,0.92585,5,4,0.135088,0.28006,0.283355,0.227343,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
589,WAC,Fongoli,Fongoli,Individual 13,23.06.23,0.49757,4,3,0.172885,0.177102,0.147585,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
591,WAC,Fongoli,Fongoli,Individual 11,23.06.23,0.97059,6,5,0.126255,0.192013,0.120994,0.344571,0.186752,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
592,WAC,Fongoli,Fongoli,Individual 15,21.06.23,4.74128,17,16,0.231947,0.218303,0.231947,0.218303,0.259235,0.286523,0.443429,0.238769,0.313811,0.272879,0.293345,0.259235,0.238769,0.259235,0.695842,0.279701,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
593,WAC,Fongoli,Fongoli,Individual 15,21.06.23,5.46734,14,13,0.176129,0.403629,0.198145,0.242177,0.249516,0.6825,0.469677,0.205484,0.579758,1.467742,0.2275,0.278871,0.28621,,,,,,,,,,,,,,With,Build-Up,after,1,0,NV,NV,Resting
594,WAC,Fongoli,Fongoli,Individual 15,21.06.23,0.35711,3,2,0.197943,0.159171,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
596,WAC,Fongoli,Fongoli,Individual 16,17.06.23,1.61873,7,6,0.210592,0.204306,0.861229,0.132013,0.081722,0.12887,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
599,WAC,Fongoli,Fongoli,Individual 18,16.06.23,0.93769,10,9,0.121803,0.12567,0.085069,0.110203,0.069602,0.141137,0.052201,0.166271,0.065735,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
600,WAC,Fongoli,Fongoli,Individual 18,11.06.23,3.11012,13,12,0.325643,0.221815,0.08967,0.155742,0.26429,0.556896,0.235973,0.235973,0.231254,0.226534,0.273729,0.292607,,,,,,,,,,,,,,,With,Build-Up,after,1,0,NV,NV,Resting
603,WAC,Fongoli,Fongoli,Individual 11,10.06.23,0.69793,4,3,0.259366,0.240503,0.198061,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
604,WAC,Fongoli,Fongoli,Individual 13,10.06.23,1.32051,6,5,0.42427,0.205859,0.145608,0.233474,0.311299,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
605,WAC,Fongoli,Fongoli,Individual 16,10.06.23,1.62981,12,11,0.28704,0.107032,0.136222,0.121627,0.12406,0.201901,0.097302,0.109465,0.080274,0.121627,0.243254,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
606,WAC,Fongoli,Fongoli,Individual 17,09.06.23,1.3874,6,5,0.0991,0.128084,0.056778,0.501213,0.602221,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
608,WAC,Fongoli,Fongoli,Individual 17,09.06.23,0.86719,6,5,0.105179,0.096593,0.154549,0.287632,0.223237,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
610,WAC,Fongoli,Fongoli,Individual 17,09.06.23,1.98428,9,8,0.091739,0.186875,0.22425,0.693138,0.397535,0.139307,0.132512,0.118921,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
616,WAC,Fongoli,Fongoli,Individual 16,27.05.23,1.7357,8,7,0.109062,0.118343,0.074255,0.109062,0.092818,0.139228,1.092936,,,,,,,,,,,,,,,,,,,,With,after,after,0,0,NV,NV,Traveling
617,WAC,Fongoli,Fongoli,Individual 10,05.06.18,3.53747,24,23,0.172901,0.158882,0.135517,0.149536,0.191594,0.20094,0.24767,0.20094,0.14019,0.186921,0.056076,0.186921,0.084114,0.172901,0.070095,0.163555,0.09346,0.135517,0.088787,0.126171,0.135517,0.163555,0.275708,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
618,WAC,Fongoli,Fongoli,Individual 10,05.06.18,3.77852,9,8,0.259268,0.233766,2.545928,0.063754,0.153011,0.127509,0.195514,0.199764,,,,,,,,,,,,,,,,,,,With,before,after,0,0,NV,NV,Traveling
620,EAC,Gombe,Kasekela,Individual 34,17.08.17,1.2044,6,5,0.380688,0.316127,0.104634,0.262697,0.140254,,,,,,,,,,,,,,,,,,,,,,With,after,after,0,0,NV,NV,Resting
621,EAC,Gombe,Kasekela,Individual 36,31.08.17,0.29828,3,2,0.168839,0.129443,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
622,EAC,Gombe,Kasekela,Individual 34,27.05.17,2.38923,13,12,0.053094,0.127426,0.323572,0.07292,0.048255,0.231628,0.178438,0.345111,0.249542,0.254851,0.222995,0.281397,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
624,EAC,Gombe,Kasekela,Individual 36,09.06.17,0.27015,3,2,0.177823,0.092331,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
625,EAC,Gombe,Kasekela,Individual 31,11.09.16,0.70653,6,5,0.116091,0.171016,0.144802,0.092373,0.18225,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
626,EAC,Gombe,Kasekela,Individual 32,27.09.16,0.07471,2,1,0.074705,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
627,EAC,Gombe,Kasekela,Individual 34,20.08.17,2.15501,7,6,0.148622,0.14119,0.988333,0.30839,0.300959,0.267519,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
630,EAC,Gombe,Kasekela,Individual 30,27.05.17,0.12758,2,1,0.127581,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
632,EAC,Gombe,Kasekela,Individual 35,05.06.17,1.30025,6,5,0.141662,0.609651,0.199844,0.149251,0.199844,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Resting
633,EAC,Gombe,Kasekela,Individual 36,09.06.17,0.33591,4,3,0.063162,0.195229,0.077517,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
634,EAC,Gombe,Kasekela,Individual 33,12.06.17,0.91135,6,5,0.106421,0.270891,0.102551,0.270891,0.160599,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Resting
640,EAC,Gombe,Kasekela,Individual 32,01.10.17,2.31243,6,5,0.145118,0.094642,0.214523,0.80446,1.053686,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Resting
641,EAC,Gombe,Kasekela,Individual 32,01.10.17,1.04294,6,5,0.116105,0.080072,0.136123,0.598541,0.112101,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
642,EAC,Gombe,Kasekela,Individual 32,01.10.17,1.58881,8,7,0.109738,0.104967,0.932771,0.169378,0.062026,0.155064,0.054869,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
643,EAC,Gombe,Kasekela,Individual 32,01.10.17,1.98645,8,7,0.164149,0.085643,0.766031,0.099917,0.168907,0.60426,0.097539,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Resting
644,EAC,Gombe,Kasekela,Individual 32,01.10.17,0.36601,3,2,0.324686,0.041324,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
645,EAC,Gombe,Kasekela,Individual 34,29.11.17,0.09207,2,1,0.092068,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
646,EAC,Gombe,Kasekela,Individual 32,01.12.17,0.10005,2,1,0.10005,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
647,EAC,Gombe,Mitumba,Individual 42,26.11.16,1.12537,3,2,0.38962,0.73575,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
648,EAC,Gombe,Mitumba,Individual 42,12.01.17,0.93358,2,1,0.93358,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
649,EAC,Gombe,Mitumba,Individual 42,14.07.17,0.43065,4,3,0.16223,0.14453,0.12389,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
650,EAC,Gombe,Mitumba,Individual 42,14.07.17,0.20753,2,1,0.20753,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
654,EAC,Gombe,Mitumba,Individual 43,16.09.16,0.17999,3,2,0.09078,0.08921,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
655,EAC,Gombe,Mitumba,Individual 42,15.02.17,0.10999,2,1,0.10999,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
656,EAC,Gombe,Mitumba,Individual 42,02.10.16,0.08905,2,1,0.08905,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
657,EAC,Gombe,Mitumba,Individual 42,02.10.16,0.0744,2,1,0.0744,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
658,EAC,Gombe,Mitumba,Individual 42,02.10.16,0.06617,2,1,0.06617,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
660,EAC,Kibale,Kanyawara,Individual 25,27.07.11,0.95637,5,4,0.163859,0.072483,0.656372,0.063657,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Traveling
661,EAC,Kibale,Kanyawara,Individual 28,19.10.10,0.54716,4,3,0.148153,0.202448,0.196556,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Traveling
662,EAC,Kibale,Kanyawara,Individual 28,19.12.10,0.10377,2,1,0.10377,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
663,EAC,Kibale,Kanyawara,Individual 28,19.12.10,0.91564,7,6,0.094396,0.136285,0.160474,0.061358,0.25723,0.205902,,,,,,,,,,,,,,,,,,,,,With,Roar,Let-Down,1,3,NV,NV,Traveling
664,EAC,Kibale,Kanyawara,Individual 25,21.12.10,0.66343,5,4,0.196638,0.074532,0.315573,0.076686,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
665,EAC,Kibale,Kanyawara,Individual 25,21.12.10,0.43103,4,3,0.066729,0.304787,0.059515,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
666,EAC,Kibale,Kanyawara,Individual 25,21.12.10,0.50914,4,3,0.136866,0.125048,0.247226,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
667,EAC,Kibale,Kanyawara,Individual 25,23.12.10,0.51374,4,3,0.096489,0.318152,0.099097,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
669,EAC,Kibale,Kanyawara,Individual 29,26.07.11,1.66332,5,4,0.176341,0.284215,1.122445,0.080322,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Resting
670,EAC,Kibale,Kanyawara,Individual 25,23.12.10,0.09262,2,1,0.092624,,,,,,,,,,,,,,,,,,,,,,,,,,Unk,Unk,Unk,0,0,NV,NV,Traveling
671,EAC,Kibale,Kanyawara,Individual 29,23.12.10,0.26412,3,2,0.140579,0.123539,,,,,,,,,,,,,,,,,,,,,,,,,With,Pause after BUp,Pause after BUp,1,0,NV,NV,Resting
672,EAC,Kibale,Kanyawara,Individual 29,23.12.10,1.77073,7,6,0.11274,0.652753,0.105486,0.312852,0.306541,0.280354,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
673,EAC,Kibale,Kanyawara,Individual 28,01.11.10,0.89764,4,3,0.302075,0.05039,0.545529,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,Traveling
674,EAC,Kibale,Kanyawara,Individual 28,01.11.10,2.32674,13,12,0.109444,0.259209,0.076232,0.349932,0.249128,0.24118,0.162726,0.143715,0.069122,0.072002,0.267849,0.326113,,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,NV,NV,Resting
675,EAC,Kibale,Kanyawara,Individual 22,26.02.11,0.77074,4,3,0.123545,0.503249,0.143947,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Resting
676,EAC,Kibale,Kanyawara,Individual 24,26.02.11,1.50039,5,4,0.052994,0.881021,0.076179,0.490192,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,Traveling
677,EAC,Kibale,Kanyawara,Individual 24,26.02.11,1.79982,5,4,0.146726,1.227866,0.347224,0.078,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,Resting
678,EAC,Kibale,Kanyawara,Individual 26,20.11.10,0.34943,4,3,0.077418,0.169482,0.102526,,,,,,,,,,,,,,,,,,,,,,,,With,Pause after BUp,Pause after BUp,1,0,NV,NV,Resting
679,EAC,Kibale,Kanyawara,Individual 28,26.03.11,1.88317,9,8,0.199148,0.19216,0.150234,0.688282,0.132765,0.143247,0.199148,0.178185,,,,,,,,,,,,,,,,,,,With,Roar,Let-Down,1,3,NV,NV,Resting
680,EAC,Kibale,Kanyawara,Individual 27,07.12.10,0.10345,2,1,0.103445,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Resting
681,EAC,Kibale,Kanyawara,Individual 27,07.12.10,0.14005,2,1,0.140051,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
682,EAC,Kibale,Kanyawara,Individual 23,07.12.10,0.62328,4,3,0.071436,0.282171,0.26967,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,Traveling
683,EAC,Kibale,Kanyawara,Individual 26,12.12.10,0.08884,2,1,0.088837,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,Traveling
684,EAC,Kibale,Kanyawara,Individual 26,12.12.10,0.52129,3,2,0.425166,0.096128,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,NV,NV,Resting
