Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,Date_year,Date_month,Date_day,Days_before_2024,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Total_bout_duration,N_hits,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
118,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),27.07.19,2019.0,07,27,1619.0,With,Build-Up,Climax,1,2,Resting,Resting,Resting,1.1257,8,0.5010587931673737,43.84463848474472,0.0,0.136146,0.092978,0.215841,0.132825,0.335384,0.10626,0.10626,,,,,,,,,,,,,,,,,,,,
119,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),27.07.19,2019.0,07,27,1619.0,With,Build-Up,Build-Up,1,1,Traveling,Resting,Traveling,1.07589,4,1.1265389611476224,170.92599822912499,1.3082708345352603,0.059771,0.929778,0.086337,,,,,,,,,,,,,,,,,,,,,,,,
128,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),06.03.19,2019.0,03,06,1762.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.80822,3,0.7831145820960526,156.62291641921053,1.0,0.087646,0.720578,,,,,,,,,,,,,,,,,,,,,,,,,
129,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),06.12.19,2019.0,12,06,1487.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.27229,3,0.34146431037268815,68.29286207453762,0.0,0.182635,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,
130,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),06.12.19,2019.0,12,06,1487.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.73718,5,0.39526797755065973,52.56907378421497,0.0,0.083016,0.185956,0.288895,0.179314,,,,,,,,,,,,,,,,,,,,,,,
131,Eastern,Population A,Community I,Individual 4,Population A (Community I),Community I (Individual 4),06.12.19,2019.0,12,06,1487.0,With,Build-Up,Climax,1,2,Traveling,Resting,Traveling,0.48149,5,0.129943058659376,21.188184058223403,0.0,0.096298,0.126184,0.119543,0.139467,,,,,,,,,,,,,,,,,,,,,,,
132,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),06.12.19,2019.0,12,06,1487.0,With,Unk,Unk,0,0,Resting,Resting,Resting,1.38706,5,0.6705072317124963,53.57131324071664,1.4338343733773984,0.1551,0.717257,0.142787,0.371911,,,,,,,,,,,,,,,,,,,,,,,
135,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),21.11.19,2019.0,11,21,1502.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,2.38422,8,0.4581984129258362,41.14309492560175,1.544783155738533,0.245727,0.292216,0.67741,0.172673,0.292216,0.438324,0.265651,,,,,,,,,,,,,,,,,,,,
139,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),09.12.19,2019.0,12,09,1484.0,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,2.47885,6,1.1365206338842715,98.9639223331716,2.255309307454116,0.064752,0.737181,0.073054,1.500927,0.10294,,,,,,,,,,,,,,,,,,,,,,
140,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),09.12.19,2019.0,12,09,1484.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.38851,3,0.1282064481588823,25.64128963177646,0.0,0.219162,0.169352,,,,,,,,,,,,,,,,,,,,,,,,,
141,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),09.12.19,2019.0,12,09,1484.0,With,Build-Up,Roar,1,1,Traveling,Resting,Traveling,0.99685,4,1.1223111865007755,113.3124891968479,1.3082708345352603,0.046489,0.859044,0.0913171,,,,,,,,,,,,,,,,,,,,,,,,
144,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),10.12.19,2019.0,12,10,1483.0,With,Climax,Climax,2,2,Resting,Traveling,Traveling,1.08585,4,1.0252271193443863,159.63269060615553,1.3082708345352603,0.109581,0.88661,0.089657,,,,,,,,,,,,,,,,,,,,,,,,
155,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),19.12.19,2019.0,12,19,1474.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.18596,3,0.17856912387876703,35.71382477575341,0.0,0.109581,0.076375,,,,,,,,,,,,,,,,,,,,,,,,,
156,Eastern,Population A,Community I,Individual 2,Population A (Community I),Community I (Individual 2),23.12.19,2019.0,12,23,1470.0,With,Roar,Roar,1,1,Feeding,Resting,Resting,1.21867,5,0.773243278617858,105.82233528890556,1.4338343733773984,0.069733,0.650845,0.391835,0.10626,,,,,,,,,,,,,,,,,,,,,,,
164,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),27.12.19,2019.0,12,27,1466.0,With,Build-Up,Climax,1,2,Resting,Traveling,Traveling,0.80027,5,0.83379509643151,92.36537930892976,0.0,0.122864,0.488133,0.10294,0.086337,,,,,,,,,,,,,,,,,,,,,,,
173,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),04.01.20,2020.0,01,04,1458.0,With,Unk,Unk,0,0,Resting,Resting,Resting,1.07589,4,0.7153443849272424,129.1916776763767,1.3082708345352603,0.282254,0.089657,0.703975,,,,,,,,,,,,,,,,,,,,,,,,
175,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),06.03.19,2019.0,03,06,1762.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,2.76277,9,0.7375541009133671,83.16476304547233,3.7108918901656924,0.162711,0.192597,0.10626,0.252368,0.47153,0.710616,0.092978,0.773708,,,,,,,,,,,,,,,,,,,
177,Eastern,Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),06.01.20,2020.0,01,06,1456.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.29554,4,0.19022418890899284,42.85003176000829,0.0,0.072224,0.114562,0.108751,,,,,,,,,,,,,,,,,,,,,,,,
186,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),10.01.20,2020.0,01,10,1452.0,With,Climax,Climax,2,2,Resting,Resting,Resting,1.55406,4,0.9477360046189278,120.82239157236265,1.3082708345352603,0.073054,1.20207,0.278933,,,,,,,,,,,,,,,,,,,,,,,,
187,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),10.01.20,2020.0,01,10,1452.0,Unk,Unk,Unk,0,0,Resting,Resting,Resting,0.75711,4,0.5325566319791665,87.01313751770056,0.0,0.078035,0.405118,0.273952,,,,,,,,,,,,,,,,,,,,,,,,
190,Eastern,Population A,Community I,Individual 8,Population A (Community I),Community I (Individual 8),10.01.20,2020.0,01,10,1452.0,With,Build-Up,Build-Up,1,1,Traveling,Traveling,Traveling,0.40183,3,0.03298699682697683,6.597399365395367,0.0,0.194285,0.20754,,,,,,,,,,,,,,,,,,,,,,,,,
217,Eastern,Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),20.01.20,2020.0,01,20,1442.0,With,Climax,Climax,2,2,Traveling,Traveling,Traveling,0.94188,5,0.20956656118384426,21.956786047959046,0.0,0.159552,0.22559,0.268403,0.288334,,,,,,,,,,,,,,,,,,,,,,,
218,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),20.01.20,2020.0,01,20,1442.0,With,Build-Up,Unk,1,1,Traveling,Traveling,Traveling,0.85165,3,0.8013625283566528,160.27250567133052,1.0,0.084585,0.767067,,,,,,,,,,,,,,,,,,,,,,,,,
220,Eastern,Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),20.01.20,2020.0,01,20,1442.0,With,Build-Up,Build-Up,1,1,Resting,Resting,Resting,0.71394,3,0.7488374308061225,149.7674861612245,1.0,0.089657,0.624279,,,,,,,,,,,,,,,,,,,,,,,,,
226,Eastern,Population A,Community I,Individual 9,Population A (Community I),Community I (Individual 9),23.01.20,2020.0,01,23,1439.0,With,Build-Up,Climax,1,2,Traveling,Traveling,Traveling,3.73004,12,1.1752974525930588,101.97140834692478,2.7608090209153056,0.083981,0.252368,0.059771,0.192597,0.066413,0.185956,0.099619,0.36527,1.487645,0.285575,0.650845,,,,,,,,,,,,,,,,
