Drumming_bout,Subspecies,Population,Community,Individual,Date,Total_bout_duration,N_hits,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Context_Before,Context_After,Context,Com_indiv,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,4,0.111241,111.241,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,13,0.132825,132.825,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,11,0.129505,129.505,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,8,0.126184,126.184,Population A (Community I),Community I (Individual 4)
8,Eastern,Population A,Community I,Individual 4,27.10.18,1.49429,15,With,Climax,Let-Down,2,3,Traveling,Traveling,Traveling,SonsoZL,1,0.06593,65.93,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,9,0.109581,109.581,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,5,0.092978,92.97800000000001,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,10,0.063092,63.092,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,12,0.162711,162.71099999999998,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,14,0.169352,169.352,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,8,0.122864,122.864,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,2,0.10294,102.94,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,11,0.079695,79.69500000000001,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,6,0.142787,142.787,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,4,0.069733,69.733,Population A (Community I),Community I (Individual 4)
9,Eastern,Population A,Community I,Individual 4,27.10.18,1.57962,16,With,Climax,Climax,2,2,Traveling,Resting,Traveling,SonsoZL,1,0.12186,121.86,Population A (Community I),Community I (Individual 4)
