Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies,Days_before_2024
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,3,0.2794804089200557,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,4,0.6321777963457054,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,5,0.3799125210034586,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,6,0.6729866563541086,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,7,0.27896960635354934,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,8,0.7451299919927935,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,9,0.1867452898293315,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,10,0.5608558766445185,Eastern,1737.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),33,11,0.5321971111762351,Eastern,1737.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),43,1,0.16108447588372546,Eastern,1721.0
Population A,Community I,Individual 5,Population A (Community I),Community I (Individual 5),43,2,0.9228069878833155,Eastern,1721.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),44,1,0.12984292493817257,Eastern,1669.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),44,2,0.8683184060488185,Eastern,1669.0
Population A,Community I,Individual 7,Population A (Community I),Community I (Individual 7),49,1,0.11440657419577116,Eastern,1669.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),50,1,0.23809614859328052,Eastern,1650.0
Population A,Community I,Individual 11,Population A (Community I),Community I (Individual 11),50,2,0.8175178417034247,Eastern,1650.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),51,1,0.1264069820264212,Eastern,1632.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),51,2,0.900523617993791,Eastern,1632.0
Population A,Community I,Individual 1,Population A (Community I),Community I (Individual 1),51,3,0.05773109089910875,Eastern,1632.0
