,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
26,27,EAC,Budongo,Sonso,KS,01.12.18,ASO1252 Sonso KS single ph drum (beh data - traveling).WAV,0.07421,0.07421,0.07421,0.0,2,1,1,0,0.074209,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV
27,28,EAC,Budongo,Sonso,HW,01.12.18,"ASO1267 Sonso HW single ph drum (beh data - traveling), HW ZF group ph.WAV",0.07772,0.07772,0.07772,0.0,2,1,1,0,0.077719,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Traveling,Traveling,NV,NV
28,29,EAC,Budongo,Sonso,HW,01.12.18,"ASO1281 Sonso HW single ph drum (beh data - resting), SM single ph.WAV",0.06864,0.06864,0.06864,0.0,2,1,1,0,0.068644,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV
29,30,EAC,Budongo,Sonso,HW,01.12.18,"ASO1282 Sonso HW single ph drum (beh data - resting), SM single ph.WAV",0.088,0.088,0.088,0.0,2,1,1,0,0.087997,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV
30,31,EAC,Budongo,Sonso,HW,01.12.18,"ASO1283 Sonso HW single ph drum (beh data - resting), SM single ph start.WAV",0.09057,0.09057,0.09057,0.0,2,1,1,0,0.090568,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Resting,Resting,Resting,NV,NV
31,32,EAC,Budongo,Sonso,SM,19.03.19,1801 SM single ph drum traveling.WAV,0.08053,0.08053,0.08053,0.0,2,1,1,0,0.080525,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV
32,33,EAC,Budongo,Sonso,PS,31.03.19,1952 PS single ph drum traveling (beh data-traveling).WAV,2.22895,2.22895,2.22895,0.0,13,12,12,0,0.148619,0.208388,0.077477,0.199741,0.116216,0.189686,0.092171,0.238227,0.081485,0.354858,0.27785,0.244231,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV
33,34,EAC,Budongo,Sonso,PS,31.03.19,1952 PS single ph drum traveling (beh data-traveling).WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other 2 trees,Traveling,Traveling,Traveling,NV,NV
34,35,EAC,Budongo,Sonso,PS,31.03.19,1952 PS single ph drum traveling (beh data-traveling).WAV,0.18334,0.18334,0.18334,0.0,2,1,1,0,0.183336,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other 2 trees,Traveling,Traveling,Traveling,NV,NV
35,36,EAC,Budongo,Sonso,HW,06.04.19,"2038 HW single ph drum (beh data - resting), IN DL JS group ph .WAV",0.06733,0.06733,0.06733,0.0,2,1,1,0,0.067326,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,Pause BuildUp-Climax,Resting,Traveling,Traveling,NV,NV
