,Drumming_bout,Subspecies,Population,Community,Individual,Date,File_Name,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,N_Interbeats,Summed_N_Interbeats,Check_Matching_N_Interbeats,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH
493,496,EAC,Budongo,Waibira,ALF,21.02.20,Budongo VE 2020-02-21 Clip00003.MP4 ALF PH DR DB GT.wav,0.08909,0.08909,0.08909,0.0,2,1,1,0,0.089093,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Unk,NV,NV
494,497,EAC,Budongo,Waibira,URS,21.02.20,Budongo VE 2020-02-21 Clip00020.MP4 URS PH DR DB GT?.wav,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Traveling,NV,NV
495,498,EAC,Budongo,Waibira,UNK,22.02.20,Budongo VE 2020-02-22 Clip20046.MP4 UNK DR.wav,0.35232,0.35232,0.35232,0.0,4,3,3,0,0.118086,0.086283,0.147954,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,Display,NV,NV
496,499,EAC,Budongo,Waibira,DAU,22.02.20,Budongo VE 2020-02-22 Clip20013.MP4 DAU PH DR .wav,0.55048,0.55048,0.55048,0.0,3,2,2,0,0.117122,0.433353,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Unk,NV,NV
497,500,EAC,Budongo,Waibira,LAN,22.02.20,LAN_ph_220220_03.WAV,0.48837,0.48837,0.48837,0.0,3,2,2,0,0.427324,0.061046,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,CYA,30
498,501,EAC,Budongo,Waibira,MAS,22.02.20,Budongo VE 2020-02-22 Clip20016.MP4 MAS PH DR GT CYA 40.wav,0.05738,0.05738,0.05738,0.0,2,1,1,0,0.057377,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,Traveling,CYA,40
499,502,EAC,Budongo,Waibira,ALF,22.02.20,Budongo VE 2020-02-22 Clip20018.MP4 ALF PH DR GT.wav,0.06509,0.06509,0.06509,0.0,2,1,1,0,0.06509,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
500,503,EAC,Budongo,Waibira,ALF,22.02.20,Budongo VE 2020-02-22 Clip20019.MP4 ALF DR DISP.wav,0.07105,0.07105,0.07105,0.0,2,1,1,0,0.071047,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,Display,NV,NV
501,504,EAC,Budongo,Waibira,ALF,22.02.20,Budongo VE 2020-02-22 Clip20022.MP4 ALF PH DR DB GT.wav,0.07631,0.07631,0.07631,0.0,2,1,1,0,0.076309,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
502,505,EAC,Budongo,Waibira,ILA,22.02.20,Budongo VE 2020-02-22 Clip20056.MP4 ILA DR.wav,0.06548,0.06548,0.06548,0.0,2,1,1,0,0.06548,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,Display,NV,NV
503,506,EAC,Budongo,Waibira,LAN,22.02.20,LAN_ph_220220_01.WAV,0.12447,0.12447,0.12447,0.0,2,1,1,0,0.124472,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Roar before climax,NV,NV,Traveling,NV,NV
504,507,EAC,Budongo,Waibira,MAC,23.02.20,MAC_ph-fg_230220_02.WAV,0.52527,0.52527,0.52527,0.0,3,2,2,0,0.323242,0.202026,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,AFT,NV,NV
505,508,EAC,Budongo,Waibira,BEN,27.02.20,Budongo VE 2020-02-27 Clip40003.MP4 BEN PH DR CYA 50 GT-AFT.wav,0.20671,0.20671,0.20671,0.0,2,1,1,0,0.20671,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,Pause between climax and scream?,NV,NV,AFT,CYA,50
506,509,EAC,Budongo,Waibira,BEN,27.02.20,Budongo VE 2020-02-27 Clip40014.MP4 BEN PH DR 2B GT AB 40.wav,0.38485,0.38485,0.38485,0.0,2,1,1,0,0.384845,,,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,"Ph roar, Climax after roar",NV,NV,Traveling,AB,40
507,510,EAC,Budongo,Waibira,BEN,27.02.20,Budongo VE 2020-02-27 Clip40015.MP4 BEN PH DR 2B GT CYA 90.wav,0.55917,0.55917,0.55917,0.0,2,1,1,0,0.559174,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,PH without climax,NV,NV,Traveling,CYA,90
508,511,EAC,Budongo,Waibira,BEN,27.02.20,Budongo VE 2020-02-27 Clip40017.MP4 BEN PH DR 2B GT CAL 30.wav,0.31153,0.31153,0.31153,0.0,2,1,1,0,0.311531,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Traveling,CAL,30
509,512,EAC,Budongo,Waibira,BEN,27.02.20,Budongo VE 2020-02-27 Clip40002.MP4 BEN PH DR GT CYA 70.wav,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,CYA,70
510,513,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50002.MP4 ILA PH DR 3xDB GT CMI 70.wav,1.47104,1.47104,1.47104,0.0,6,5,5,0,0.056451,0.635902,0.060602,0.664957,0.05313,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,"Ph roar, roar becoming climax",NV,NV,Traveling,CMI,70
511,514,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50017.MP4 ILA PH DR 5B GR CYA 90.wav,1.30833,1.30833,1.30833,0.0,5,4,4,0,0.086337,0.936419,0.119543,0.166032,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,Unk end phase for overlap,NV,NV,Resting,CYA,90
512,515,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50012.MP4 ILA PH DR 2DB GT CMI 80.wav,0.74716,0.74716,0.74716,0.0,4,3,3,0,0.086449,0.583529,0.077186,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Roar,1,1,Ph roar,NV,NV,Traveling,CMI,80
513,516,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50028.MP4 ILA PH DR 2DB GT-GR CYA 40.wav,2.15841,2.15841,2.15841,0.0,4,3,3,0,0.069733,2.018946,0.069733,,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Unk,1,0,"Ph roar, Unk end because overlap with other calls",NV,NV,Unk,CYA,40
514,517,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50003.MP4 ILA PH DR DB GR AB 80.wav,0.09764,0.09764,0.09764,0.0,2,1,1,0,0.097636,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,NV,NV,Resting,AB,80
515,518,EAC,Budongo,Waibira,ILA,28.02.20,Budongo VE 2020-02-28 Clip50005.MP4 ILA PH DR GR DB CAL 60.wav,0.0575,0.0575,0.0575,0.0,2,1,1,0,0.057499,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,NV,NV,Resting,CAL,60
516,519,EAC,Budongo,Waibira,ALF,29.02.20,Budongo VE 2020-02-29 Clip60003.MP4 ALF PH DR 9B GT CGO 50.wav,2.09743,2.09743,2.09743,0.0,9,8,8,0,0.18474,0.10294,0.308819,0.05313,0.239086,0.78367,0.242406,0.182635,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,NV,Traveling,CGO,50
517,520,EAC,Budongo,Waibira,BEN,29.02.20,Budongo VE 2020-02-29 Clip60021.MP4 BEN PH DR DB GT-GR-AFT CGO 40.wav,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,AFT,CGO,40
518,521,EAC,Budongo,Waibira,GER,03.03.20,GER_ph_030320_02.WAV,0.99835,0.99835,0.99835,0.0,5,4,4,0,0.16336,0.054518,0.679872,0.100602,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
519,522,EAC,Budongo,Waibira,GER,03.03.20,GER_ph_030320_01.WAV,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Display,NV,NV
520,523,EAC,Budongo,Waibira,TRS,04.03.20,Budongo VE 2020-03-04 Clip70006.MP4 TRS PH DR GT CMU 70.wav,1.99238,1.99238,1.99238,0.0,12,11,11,0,0.132825,0.174333,0.112902,0.15939,0.185956,0.15607,0.169352,0.182635,0.166032,0.25901,0.293876,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,CMU,70
521,524,EAC,Budongo,Waibira,ILA,04.03.20,Budongo VE 2020-03-04 Clip70011.MP4 ILA PH DR GT CYA 50.wav,2.03812,2.03812,2.03812,0.0,5,4,4,0,0.174105,0.051868,1.760469,0.051675,,,,,,,,,,,,,,,,,,,,,,,With,Roar,Climax,1,2,"Ph roar, Climax after roar",NV,NV,Traveling,CYA,50
522,525,EAC,Budongo,Waibira,ILA,04.03.20,Budongo VE 2020-03-04 Clip70010.MP4 ILA 2PH DR DISP CMI 50 & CMI 60.wav,0.95634,0.95634,0.95634,0.0,4,3,3,0,0.089657,0.823518,0.043168,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Display,CMI,60
523,526,EAC,Budongo,Waibira,TRS,04.03.20,Budongo VE 2020-03-04 Clip70009.MP4 TRS & ILA PH DR GT CMI 30.wav,0.21916,0.21916,0.21916,0.0,3,2,2,0,0.15441,0.064752,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,NV,NV,Traveling,CMI,30
524,527,EAC,Budongo,Waibira,ILA,04.03.20,Budongo VE 2020-03-04 Clip70010.MP4 ILA 2PH DR DISP CMI 50 & CMI 60.wav,0.49976,0.49976,0.49976,0.0,3,2,2,0,0.069733,0.430022,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,Display,CMI,60
525,528,EAC,Budongo,Waibira,ILA,04.03.20,Budongo VE 2020-03-04 Clip70009.MP4 TRS & ILA PH DR GT CMI 30.wav,0.05313,0.05313,0.05313,0.0,2,1,1,0,0.05313,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,NV,NV,Traveling,CMI,30
526,529,EAC,Budongo,Waibira,MAC,04.03.20,Budongo VE 2020-03-04 Clip70017.MP4 MAC PH DR GT CYA 90?.wav,0.08359,0.08359,0.08359,0.0,2,1,1,0,0.083585,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,Traveling,CYA,90
527,530,EAC,Budongo,Waibira,MAC,04.03.20,Budongo VE 2020-03-04 Clip70019.MP4 2 DR MAC DISP FSS 100.wav,0.12618,0.12618,0.12618,0.0,2,1,1,0,0.126184,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,Display,FSS,100
528,531,EAC,Budongo,Waibira,MAC,04.03.20,Budongo VE 2020-03-04 Clip70019.MP4 2 DR MAC DISP FSS 100.wav,0.23244,0.23244,0.23244,0.0,2,1,1,0,0.232444,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,Display,NV,NV
529,532,EAC,Budongo,Waibira,LAF,05.03.20,Budongo VE 2020-03-05 Clip80017.MP4 LAF PH DR GT CYA 70.wav,0.81088,0.81089,0.81089,0.0,4,3,3,0,0.258331,0.47401,0.078544,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Traveling,CYA,70
530,533,EAC,Budongo,Waibira,MAC,05.03.20,Budongo VE 2020-03-05 Clip80002.MP4 MAC PH DR 1B GT.wav,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
531,534,EAC,Budongo,Waibira,TRS,06.03.20,Budongo VE 2020-03-06 Clip90021.MP4 TRS PH DR GT-GR CMU 80.wav,3.60074,3.60073,3.60073,0.0,14,13,13,0,0.120782,0.175994,0.043168,0.205879,0.139393,1.269976,0.063092,0.245727,0.249048,0.395156,0.202559,0.116222,0.373738,,,,,,,,,,,,,,With,Build-Up,Let-Down,1,3,NV,NV,NV,Resting,CMU,80
532,535,EAC,Budongo,Waibira,TRS,06.03.20,Budongo VE 2020-03-06 Clip90025.MP4 TRS PH DR GR-GT CYA 80.wav,1.58062,1.58062,1.58062,0.0,9,8,8,0,0.10294,0.073054,0.119543,0.063092,0.099619,0.05313,0.378552,0.690692,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,NV,Traveling,CYA,80
533,536,EAC,Budongo,Waibira,TRS,06.03.20,Budongo VE 2020-03-06 Clip90037.MP4 TRS PH DR GT CYA 80.wav,3.1268,3.1268,3.1268,0.0,5,4,4,0,0.264416,2.151772,0.351987,0.358629,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,NV,Traveling,CYA,80
534,537,EAC,Budongo,Waibira,BEN,06.03.20,Budongo VE 2020-03-06 Clip00011.MP4 BEN PH-DR GR CYA 40.wav,0.82553,0.82552,0.82552,0.0,4,3,3,0,0.157501,0.336727,0.331296,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,NV,Resting,CYA,40
535,538,EAC,Budongo,Waibira,ILA,06.03.20,Budongo VE 2020-03-06 Clip00021.MP4 ILA PH-DR GT TSI 50 .wav,0.87665,0.87665,0.87665,0.0,4,3,3,0,0.073054,0.706258,0.097336,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,Unk because overlap with other calls,NV,NV,Traveling,TSI,50
536,539,EAC,Budongo,Waibira,ILA,06.03.20,Budongo VE 2020-03-06 Clip00022.MP4 ILA PH-DR 2DB GT.wav,0.78985,0.78985,0.78985,0.0,4,3,3,0,0.051529,0.691439,0.046883,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
537,540,EAC,Budongo,Waibira,TRS,06.03.20,Budongo VE 2020-03-06 Clip90020.MP4 TRS PH DR GT CMU 70.wav,0.69069,0.69069,0.69069,0.0,3,2,2,0,0.31297,0.04981,0.327913,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Unk,1,0,NV,NV,NV,Traveling,CMU,70
538,541,EAC,Budongo,Waibira,URS,06.03.20,Budongo VE 2020-03-06 Clip90023.MP4 URS PH DR 2+1b  GT-GR CMU 80.wav,0.44829,0.44829,0.44829,0.0,3,2,2,0,0.069733,0.378552,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Resting,CMU,80
539,542,EAC,Budongo,Waibira,BEN,06.03.20,Budongo VE 2020-03-06 Clip00006.MP4 BEN PH-DR 2+1B GT CYA 40.wav,0.43654,0.43654,0.43654,0.0,3,2,2,0,0.081655,0.354886,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,CYA,40
540,543,EAC,Budongo,Waibira,BEN,06.03.20,Budongo VE 2020-03-06 Clip00009.MP4 BEN AND FID PH-DR GR CYA 40.wav,0.61764,0.61764,0.61764,0.0,3,2,2,0,0.375232,0.242406,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Resting,CYA,40
541,544,EAC,Budongo,Waibira,FID,06.03.20,Budongo VE 2020-03-06 Clip00009.MP4 BEN AND FID PH-DR GR CYA 40.wav,0.43832,0.43832,0.43832,0.0,3,2,2,0,0.202559,0.235765,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Unk,NV,NV
542,545,EAC,Budongo,Waibira,SAM,07.03.20,Budongo VE 2020-03-07 Clip10003.MP4 SAM DR DISP CYA 70.wav,0.12977,0.12977,0.12977,0.0,2,1,1,0,0.129767,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,Display,CYA,70
543,546,EAC,Budongo,Waibira,MAS,07.03.20,Budongo VE 2020-03-10 Clip20022.MP4 MAC PH-DR 1B & MAS PH-DR DB GT CYA 60.wav,0.12618,0.12618,0.12618,0.0,2,1,1,0,0.126184,,,,,,,,,,,,,,,,,,,,,,,,,,With,Unk,Unk,0,0,NV,NV,NV,Traveling,CYA,60
544,547,EAC,Budongo,Waibira,MAC,07.03.20,Budongo VE 2020-03-10 Clip20022.MP4 MAC PH-DR 1B & MAS PH-DR DB GT CYA 60.wav,0.0,0.0,0.0,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,CYA,60
545,548,EAC,Budongo,Waibira,ILA,16.03.20,Budongo VE 2020-03-16 Clip50022.MP4 ILA and SAM PH-DR GR CYA 60.wav,2.24143,2.24143,2.24143,0.0,4,3,3,0,0.215841,1.899403,0.126184,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Unk,2,0,NV,NV,NV,Resting,CYA,60
546,549,EAC,Budongo,Waibira,SAM,16.03.20,Budongo VE 2020-03-16 Clip50022.MP4 ILA and SAM PH-DR GR CYA 60.wav,1.13566,1.13566,1.13566,0.0,3,2,2,0,0.129505,1.006152,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Let-Down,2,3,NV,NV,NV,Resting,CYA,60
547,550,EAC,Budongo,Waibira,ALF,16.03.20,Budongo VE 2020-03-16 Clip50039.MP4 ALF PH-DR db GT.wav,0.09899,0.09899,0.09899,0.0,2,1,1,0,0.098987,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
548,551,EAC,Budongo,Waibira,ILA,06.06.23,Budongo WS WW 2023-06-06 Clip 05 14;47 (ILA DR),0.0579,0.0579,0.0579,0.0,2,1,1,0,0.057896,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
549,552,EAC,Budongo,Waibira,LAF,07.06.23,Budongo WS WW 2023-06-07 Clip 11 16;17 LAF DR,0.45634,0.45634,0.45634,0.0,3,2,2,0,0.080187,0.376151,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
550,553,EAC,Budongo,Waibira,ALF,08.06.23,Budongo WS WW 2023-06-08 Clip 01 10;38 ALF DR tree description,0.0751,0.0751,0.0751,0.0,2,1,1,0,0.075104,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,AFT,NV,NV
551,554,EAC,Budongo,Waibira,MAC,12.06.23,Budongo WS WW 2023-06-12 Clip 01 07;11 MAC DR tree description,0.07332,0.07332,0.07332,0.0,2,1,1,0,0.073322,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,weird-sounding CL,NV,NV,AFT,NV,NV
552,555,EAC,Budongo,Waibira,MAC,12.06.23,Budongo WS WW 2023-06-12 Clip 02 08;24 MAC (JNO) DR,0.65509,0.65509,0.65509,0.0,5,4,4,0,0.244758,0.17517,0.105582,0.129578,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,second caller is JNO,NV,NV,Traveling,NV,NV
553,556,EAC,Budongo,Waibira,MAC,12.06.23,Budongo WS WW 2023-06-12 Clip 03 08;27 MAC DR,0.57419,0.57419,0.57419,0.0,3,2,2,0,0.11448,0.459707,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
554,557,EAC,Budongo,Waibira,BEN,12.06.23,Budongo WS WW 2023-06-12 Clip 16 16;11 xxx (BEN DR),0.41541,0.41541,0.41541,0.0,3,2,2,0,0.099337,0.316072,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,Traveling,NV,NV
555,558,EAC,Budongo,Waibira,MUG,14.06.23,Budongo WS WW 2023-06-14 Clip 18 09;48 MUG DR,0.66828,0.66828,0.66828,0.0,3,2,2,0,0.490182,0.178099,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,display,NV,NV
556,559,EAC,Budongo,Waibira,MUG,14.06.23,Budongo WS WW 2023-06-14 Clip 19 09;48 MUG DR,0.12362,0.12362,0.12362,0.0,2,1,1,0,0.123619,,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,display,NV,NV
557,560,EAC,Budongo,Waibira,MUG,14.06.23,Budongo WS WW 2023-06-14 Clip 24 09;58 MUG DR,0.08587,0.08587,0.08587,0.0,2,1,1,0,0.085868,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,display,NV,NV
558,561,EAC,Budongo,Waibira,ALF,14.06.23,Budongo WS WW 2023-06-14 Clip 26 10;12 ALF DR,0.08558,0.08558,0.08558,0.0,2,1,1,0,0.08558,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,resting,NV,NV
559,562,EAC,Budongo,Waibira,MUG,14.06.23,Budongo WS WW 2023-06-14 Clip 28 11;12 MUG DR,0.32147,0.32147,0.32147,0.0,3,2,2,0,0.072937,0.248528,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
560,563,EAC,Budongo,Waibira,ILA,17.06.23,Budongo WS WW 2023-06-17 Clip 03 08;23 JNO ILA DR,0.15706,0.15706,0.15706,0.0,2,1,1,0,0.157056,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
561,564,EAC,Budongo,Waibira,ALF,23.06.23,Budongo WS WW 2023-06-23 Clip 21 11;38 ALF DAU MAC MUG DR,0.04896,0.04896,0.04896,0.0,2,1,1,0,0.048956,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,display,NV,NV
562,565,EAC,Budongo,Waibira,DAU,23.06.23,Budongo WS WW 2023-06-23 Clip 21 11;38 ALF DAU MAC MUG DR,0.10818,0.10818,0.10818,0.0,2,1,1,0,0.108179,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,display,NV,NV
563,566,EAC,Budongo,Waibira,ALF,23.06.23,Budongo WS WW 2023-06-23 Clip 22 11;40 ALF DR,0.6596,0.6596,0.6596,0.0,3,2,2,0,0.079307,0.580297,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,display,NV,NV
564,567,EAC,Budongo,Waibira,ILA,06.07.23,Budongo WS WW 2023-07-06 Clip 01 08;32 ILA FID DR,0.19028,0.19028,0.19028,0.0,3,2,2,0,0.116283,0.073998,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,"two callers, cl for both during drum",NV,NV,Traveling,NV,NV
565,568,EAC,Budongo,Waibira,FID,06.07.23,Budongo WS WW 2023-07-06 Clip 01 08;32 ILA FID DR,0.148,0.148,0.148,0.0,2,1,1,0,0.147996,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,"two callers, cl for both during drum",NV,NV,Traveling,NV,NV
566,569,EAC,Budongo,Waibira,ALF,06.07.23,Budongo WS WW 2023-07-06 Clip 11 09;25 ALF MAS FID DR,0.09473,0.09473,0.09473,0.0,2,1,1,0,0.094725,,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,resting,NV,NV
567,570,EAC,Budongo,Waibira,MAC,07.07.23,Budongo WS WW 2023-07-07 Clip 05 08;47 MAC DR,0.0716,0.0716,0.0716,0.0,2,1,1,0,0.0716,,,,,,,,,,,,,,,,,,,,,,,,,,With,Let-Down,Let-Down,3,3,NV,NV,NV,display,NV,NV
568,571,EAC,Budongo,Waibira,LAF,11.07.23,Budongo WS WW 2023-07-11 Clip 02 08;28 LAF DR,1.57665,1.57665,1.57665,0.0,7,6,6,0,0.189649,0.081278,0.095867,0.831065,0.278733,0.100058,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Build-Up,1,1,NV,NV,NV,resting,NV,NV
569,572,EAC,Budongo,Waibira,FID,13.07.23,Budongo WS WW 2023-07-13 Clip 03 13;05 NEV NIM (NGO) (FID DR),0.07809,0.07809,0.07809,0.0,2,1,1,0,0.07809,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,display,NV,NV
570,573,EAC,Budongo,Waibira,LAN,14.07.23,Budongo WS WW 2023-07-14 Clip 04 10;23 LAN DR,0.38498,0.38498,0.38498,0.0,3,2,2,0,0.309134,0.075846,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,NV,resting,NV,NV
571,574,EAC,Budongo,Waibira,LAN,18.07.23,Budongo WS WW 2023-07-18 Clip 01 09;29 LAN DR,0.05955,0.05955,0.05955,0.0,2,1,1,0,0.05955,,,,,,,,,,,,,,,,,,,,,,,,,,Without,0,0,0,0,NV,NV,NV,display,NV,NV
572,575,EAC,Budongo,Waibira,LAN,19.07.23,Budongo WS WW 2023-07-19 Clip 02 07;38 DAU LAN,0.87069,0.87069,0.87069,0.0,3,2,2,0,0.613486,0.2572,,,,,,,,,,,,,,,,,,,,,,,,,With,Build-Up,Climax,1,2,NV,NV,NV,Traveling,NV,NV
573,576,EAC,Budongo,Waibira,DAU,19.07.23,Budongo WS WW 2023-07-19 Clip 02 07;38 DAU LAN,0.08854,0.08854,0.08854,0.0,3,2,2,0,0.044272,0.044272,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
574,577,EAC,Budongo,Waibira,ALF,19.07.23,Budongo WS WW 2023-07-19 Clip 06 08;04 ALF DAU DR,0.28576,0.28576,0.28576,0.0,3,2,2,0,0.161101,0.124661,,,,,,,,,,,,,,,,,,,,,,,,,With,Climax,Climax,2,2,NV,NV,NV,Traveling,NV,NV
