Drumming_bout,Subspecies,Population,Community,Individual,Pop_com_code,Com_indiv_code,Date,File_Name_hidden,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,Com_indiv,Total_bout_duration,Summed_Total_bout_duration,N_beats,Bout_cv,Bout_npvi,Bout_entropy,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Interbeat 14,Interbeat 15,Interbeat 16,Interbeat 17,Interbeat 18,Interbeat 19,Interbeat 20,Interbeat 21,Interbeat 22,Interbeat 23,Interbeat 24,Interbeat 25,Interbeat 26,Interbeat 27
55,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),22.07.19,3105 ZD single ph drum (beh data-traveling).WAV,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.92978,0.92978,4,0.9978447503926388,45.38391444499518,1.3082708345352603,0.081738,0.747143,0.100897,,,,,,,,,,,,,,,,,,,,,,,,
56,EAC,Budongo,Sonso,ZD,Budongo (Sonso),Sonso (ZD),22.07.19,"3106 ZD group ph drum (beh data traveling), unk group ph other party, ZD single ph drum (beh data traveling-AFT).WAV",With,Build-Up,Roar,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_ZD,0.93891,0.93891,4,1.0081839795331529,50.66444748592986,1.3082708345352603,0.10709,0.758765,0.073054,,,,,,,,,,,,,,,,,,,,,,,,
59,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),27.07.19,"3191 FK ph drum (beh data traveling-resting), FK ph drum.WAV",With,Roar,Unk,1,0,Unk because overlap with other calls,Traveling,Resting,Traveling,NV,NV,Sonso_FK,0.97627,0.97627,5,0.5662188859857761,34.5223488,1.4338343733773984,0.442772,0.292216,0.166032,0.075247,,,,,,,,,,,,,,,,,,,,,,,
60,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),27.07.19,3192 FK single ph drum (beh data-resting).WAV,With,Build-Up,Let-Down,1,3,NV,Resting,Resting,Resting,NV,NV,Sonso_FK,1.12071,1.12072,5,1.056555944134687,61.08187135134896,1.4338343733773984,0.028225,0.777029,0.086337,0.229124,,,,,,,,,,,,,,,,,,,,,,,
69,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),13.10.18,"ASO528 Sonso FK single ph drum (traveling-resting), unk single ph.WAV",With,Roar,Let-Down,1,3,"Ph roar (like BUp), No climax",Traveling,Resting,Traveling,NV,NV,Sonso_FK,1.65469,1.65469,7,0.7764329729681324,34.96515561523183,2.6165416690705205,0.060781,0.332064,0.6276,0.073054,0.454927,0.10626,,,,,,,,,,,,,,,,,,,,,
72,EAC,Budongo,Sonso,PS,Budongo (Sonso),Sonso (PS),31.10.18,"ASO907 Sonso PS single ph drum traveling (not seen, beh data- out of sight).WAV",With,Climax,Let-Down,2,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_PS,1.59557,1.59556,12,0.3731925282909798,15.806198938118968,0,0.158818,0.129505,0.162711,0.066413,0.149429,0.10626,0.259001,0.086337,0.215841,0.099619,0.161623,,,,,,,,,,,,,,,,
73,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),31.10.18,"ASO914 Sonso JS single ph drum (traveling), 0;45 HW single ph drum (traveling), PS single ph.WAV",With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_JS,0.38519,0.38519,3,0.077586878,7.758687830028505,0,0.20754,0.177654,,,,,,,,,,,,,,,,,,,,,,,,,
76,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),01.12.18,ASO1276 Sonso ZL single ph drum (traveling).WAV,With,Build-Up,Let-Down,1,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_ZL,2.5901,2.5901,15,1.0186378491774615,36.96596482425474,3.0895663114770664,0.081623,0.132825,0.119543,0.534622,0.086337,0.096298,0.146108,0.063092,0.711993,0.249048,0.10294,0.056451,0.05313,0.156086,,,,,,,,,,,,,
92,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),16.06.19,2673 ZL single ph drum (traveling).WAV,With,Build-Up,Build-Up,1,1,"Ph roar (like BUp), No climax",Traveling,Traveling,Traveling,NV,NV,Sonso_ZL,0.38851,0.38851,3,0.05982796,5.9827959867598155,0,0.182635,0.205879,,,,,,,,,,,,,,,,,,,,,,,,,
94,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),18.06.19,2731 JS single ph drum traveling.WAV,With,Build-Up,Build-Up,1,1,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_JS,0.48184,0.48184,4,0.2044233061266367,12.475375566618819,0,0.202902,0.122864,0.15607,,,,,,,,,,,,,,,,,,,,,,,,
102,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),02.07.19,"2892 JS single ph drum, unk_m single ph, JS single ph drum traveling.WAV",With,Build-Up,Let-Down,1,3,NV,Traveling,Traveling,Traveling,NV,NV,Sonso_JS,1.82465,1.82464,6,1.2610555444429583,60.96343233212864,1.494555522617032,0.114517,0.166032,1.281765,0.189276,0.073054,,,,,,,,,,,,,,,,,,,,,,
106,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),04.07.19,"2925 PS display drum, unk_f group pg, HW display drum, ZD pg to HW, IS pg to PS while PS single ph start, PS HW group ph start, FK single ph drum, group ph, JS single ph drum, JS single ph drum, JS FK stranger_f group ph drum, 9;50 FK single ph.WAV",With,Build-Up,Climax,1,2,NV,Traveling,Resting,Traveling,NV,NV,Sonso_JS,0.91982,0.91982,6,0.6911831312104719,36.68206504,0,0.132825,0.099619,0.099619,0.435003,0.152749,,,,,,,,,,,,,,,,,,,,,,
107,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),04.07.19,"2925 PS display drum, unk_f group pg, HW display drum, ZD pg to HW, IS pg to PS while PS single ph start, PS HW group ph start, FK single ph drum, group ph, JS single ph drum, JS single ph drum, JS FK stranger_f group ph drum, 9;50 FK single ph.WAV",With,Build-Up,Climax,1,2,NV,Resting,Resting,Resting,NV,NV,Sonso_JS,0.97209,0.97209,6,0.8006837877954381,37.84888472,0,0.112041,0.073054,0.498095,0.179314,0.109581,,,,,,,,,,,,,,,,,,,,,,
118,EAC,Budongo,Sonso,JS,Budongo (Sonso),Sonso (JS),27.07.19,3177 JS single ph drum (resting).WAV,With,Build-Up,Climax,1,2,NV,Resting,Resting,Resting,NV,NV,Sonso_JS,1.1257,1.12569,8,0.5010587931673737,26.067238790629165,0,0.136146,0.092978,0.215841,0.132825,0.335384,0.10626,0.10626,,,,,,,,,,,,,,,,,,,,
119,EAC,Budongo,Sonso,FK,Budongo (Sonso),Sonso (FK),27.07.19,3178 FK single ph drum (traveling-resting).WAV,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Resting,Traveling,NV,NV,Sonso_FK,1.07589,1.07589,4,1.1265389611476224,50.594445714015066,1.3082708345352603,0.059771,0.929778,0.086337,,,,,,,,,,,,,,,,,,,,,,,,
128,EAC,Budongo,Sonso,HW,Budongo (Sonso),Sonso (HW),06.03.19,ASO1557 HW NB KC group ph drum. (HW ph drum?) traveling.WAV,With,Build-Up,Build-Up,1,1,No Climax,Traveling,Traveling,Traveling,NV,NV,Sonso_HW,0.80822,0.80822,3,0.7831145820960526,78.31145820960526,1,0.087646,0.720578,,,,,,,,,,,,,,,,,,,,,,,,,
129,EAC,Budongo,Sonso,MS,Budongo (Sonso),Sonso (MS),06.12.19,"3002 06/12/2019 06;00, MS single ph drum traveling CZE 40.WAV",With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,CZE,40,Sonso_MS,0.27229,0.27229,3,0.34146431037268815,34.14643103726881,0,0.182635,0.089657,,,,,,,,,,,,,,,,,,,,,,,,,
130,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),06.12.19,"3005 06/12/2019 06;34, ZL single ph drum traveling CYA 60.WAV",With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,CYA,60,Sonso_ZL,0.73718,0.73718,5,0.39526797755065973,32.21951194299867,0,0.083016,0.185956,0.288895,0.179314,,,,,,,,,,,,,,,,,,,,,,,
131,EAC,Budongo,Sonso,ZL,Budongo (Sonso),Sonso (ZL),06.12.19,"3006 06/12/2019 06;43, ZL single ph drum (traveling-resting) CYA 50.WAV",With,Build-Up,Climax,1,2,NV,Traveling,Resting,Traveling,CYA,50,Sonso_ZL,0.48149,0.48149,5,0.129943059,9.734222615258007,0,0.096298,0.126184,0.119543,0.139467,,,,,,,,,,,,,,,,,,,,,,,
132,EAC,Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),06.12.19,"3018 06/12/2019 09;08, HW groom ZL, 2;30 unk pg, 6;00 HW rest hoo, 11;30 ZL rest hoo, 20;00 SM hoo, HW ZL SM group ph drum resting, group ph other party, 22;20 unk single ph start other party, 26;00 HW ZL SM group ph drum, DL single ph, 30;00 ,,,.WAV",With,Unk,Unk,0,0,Unk because overlap with other calls,Resting,Resting,Resting,CZE,50,Sonso_SM,1.38706,1.38706,5,0.6705072317124963,25.660172211146957,1.4338343733773984,0.1551,0.717257,0.142787,0.371911,,,,,,,,,,,,,,,,,,,,,,,
135,EAC,Budongo,Sonso,PS,Budongo (Sonso),Sonso (PS),21.11.19,"3462 21/11/2019 13;42, PS single ph drum traveling KA 100.WAV",With,Build-Up,Build-Up,1,1,"No Climax, Buildup after full PH",Traveling,Traveling,Traveling,KA,100,Sonso_PS,2.38422,2.38422,8,0.45819841292583624,24.279204210811262,1.544783155738533,0.245727,0.292216,0.67741,0.172673,0.292216,0.438324,0.265651,,,,,,,,,,,,,,,,,,,,
139,EAC,Budongo,Sonso,SM,Budongo (Sonso),Sonso (SM),09.12.19,"3704 09/12/2019 09;12, SM single ph intro traveling, NB SM unk group ph drum (SM drum, resting) CPR 80, JS single ph drum traveling, JS display to KC, unk pg-scream.WAV",With,Build-Up,Build-Up,1,1,No Climax,Resting,Resting,Resting,CPR ,80,Sonso_SM,2.47885,2.47885,6,1.1365206338842715,69.46014116,2.255309307454116,0.064752,0.737181,0.073054,1.500927,0.10294,,,,,,,,,,,,,,,,,,,,,,
