Drumming_bout,Subspecies,Population,Community,Date,Total_bout_duration,Summed_Total_bout_duration,Summed_Total_bout_duration_val,Check_Matching_Total_bout_duration,N_beats,With_Ph,Start_Ph,End_Ph,Start_Ph_N,End_Ph_N,Note_Ph,Context_Before,Context_After,Context,Tree_Species,DBH,IBI_i,IBI,IBI_ms,Pop_com_code,Com_indiv_code,Individual,File_Name,Com_indiv,Bout_cv,Bout_npvi,IBI_cluster,Bout_entropy
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,7,0.112902,112.902,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,8,0.122864,122.864,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,9,0.109581,109.581,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,10,0.063092,63.092,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,11,0.079695,79.69500000000001,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,12,0.162711,162.71099999999998,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,13,0.056451,56.451,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,14,0.169352,169.352,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
9,EAC,Budongo,Sonso,27.10.18,1.57962,1.57962,1.57962,0,16,With,Climax,Climax,2,2,NV,Traveling,Resting,Traveling,NV,NV,15,0.079695,79.69500000000001,Budongo (Sonso),Sonso (ZL),ZL,ASO782 Sonso ZL single ph drum (beh data - traveling-resting).WAV,Sonso_ZL,0.3150982183803499,21.562652084901117,short,0
11,EAC,Budongo,Sonso,05.11.18,1.28763,1.28763,1.28763,0,5,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV,1,0.076215,76.215,Budongo (Sonso),Sonso (MS),MS,ASO936 Sonso MS single ph drum (beh data- resting).WAV,Sonso_MS,0.8960435408603822,42.27588043953198,short,1.4338343733773984
11,EAC,Budongo,Sonso,05.11.18,1.28763,1.28763,1.28763,0,5,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV,2,0.786219,786.219,Budongo (Sonso),Sonso (MS),MS,ASO936 Sonso MS single ph drum (beh data- resting).WAV,Sonso_MS,0.8960435408603822,42.27588043953198,long,1.4338343733773984
11,EAC,Budongo,Sonso,05.11.18,1.28763,1.28763,1.28763,0,5,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV,3,0.084238,84.238,Budongo (Sonso),Sonso (MS),MS,ASO936 Sonso MS single ph drum (beh data- resting).WAV,Sonso_MS,0.8960435408603822,42.27588043953198,short,1.4338343733773984
11,EAC,Budongo,Sonso,05.11.18,1.28763,1.28763,1.28763,0,5,With,Climax,Climax,2,2,NV,Resting,Resting,Resting,NV,NV,4,0.340962,340.962,Budongo (Sonso),Sonso (MS),MS,ASO936 Sonso MS single ph drum (beh data- resting).WAV,Sonso_MS,0.8960435408603822,42.27588043953198,short,1.4338343733773984
14,EAC,Budongo,Sonso,13.11.18,1.45361,1.45361,1.45361,0,6,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,1,0.078676,78.676,Budongo (Sonso),Sonso (ZD),ZD,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",Sonso_ZD,0.9066270770402148,42.09860614948138,short,2.384080545409061
14,EAC,Budongo,Sonso,13.11.18,1.45361,1.45361,1.45361,0,6,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,2,0.642543,642.543,Budongo (Sonso),Sonso (ZD),ZD,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",Sonso_ZD,0.9066270770402148,42.09860614948138,long,2.384080545409061
14,EAC,Budongo,Sonso,13.11.18,1.45361,1.45361,1.45361,0,6,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,3,0.068073,68.073,Budongo (Sonso),Sonso (ZD),ZD,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",Sonso_ZD,0.9066270770402148,42.09860614948138,short,2.384080545409061
14,EAC,Budongo,Sonso,13.11.18,1.45361,1.45361,1.45361,0,6,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,4,0.582771,582.7710000000001,Budongo (Sonso),Sonso (ZD),ZD,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",Sonso_ZD,0.9066270770402148,42.09860614948138,long,2.384080545409061
14,EAC,Budongo,Sonso,13.11.18,1.45361,1.45361,1.45361,0,6,With,Unk,Let-Down,0,3,NV,Traveling,Traveling,Traveling,NV,NV,5,0.081545,81.545,Budongo (Sonso),Sonso (ZD),ZD,"ASO1029 Sonso ZD single ph drum traveling, single ph 100m.WAV",Sonso_ZD,0.9066270770402148,42.09860614948138,short,2.384080545409061
16,EAC,Budongo,Sonso,13.11.18,1.38739,1.3873,1.3873,0,6,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,1,0.06247,62.47,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.9032966177926252,55.828814129564684,short,2.384080545409061
16,EAC,Budongo,Sonso,13.11.18,1.38739,1.3873,1.3873,0,6,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,2,0.677913,677.913,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.9032966177926252,55.828814129564684,long,2.384080545409061
16,EAC,Budongo,Sonso,13.11.18,1.38739,1.3873,1.3873,0,6,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,3,0.112317,112.31700000000001,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.9032966177926252,55.828814129564684,short,2.384080545409061
16,EAC,Budongo,Sonso,13.11.18,1.38739,1.3873,1.3873,0,6,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,4,0.467319,467.31899999999996,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.9032966177926252,55.828814129564684,long,2.384080545409061
16,EAC,Budongo,Sonso,13.11.18,1.38739,1.3873,1.3873,0,6,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,5,0.067285,67.285,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.9032966177926252,55.828814129564684,short,2.384080545409061
17,EAC,Budongo,Sonso,13.11.18,0.89854,0.89854,0.89854,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,1,0.050142,50.141999999999996,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.130437910638279,52.279730282648565,short,1.3082708345352603
17,EAC,Budongo,Sonso,13.11.18,0.89854,0.89854,0.89854,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,2,0.778196,778.196,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.130437910638279,52.279730282648565,long,1.3082708345352603
17,EAC,Budongo,Sonso,13.11.18,0.89854,0.89854,0.89854,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,3,0.070198,70.198,Budongo (Sonso),Sonso (ZD),ZD,ASO1032 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.130437910638279,52.279730282648565,short,1.3082708345352603
18,EAC,Budongo,Sonso,13.11.18,0.84577,0.84577,0.84577,0,3,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,1,0.111705,111.705,Budongo (Sonso),Sonso (ZD),ZD,ASO1033 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.7358501720325857,73.58501720325856,short,1
18,EAC,Budongo,Sonso,13.11.18,0.84577,0.84577,0.84577,0,3,With,Climax,Climax,2,2,NV,Traveling,Traveling,Traveling,NV,NV,2,0.734065,734.0649999999999,Budongo (Sonso),Sonso (ZD),ZD,ASO1033 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,0.7358501720325857,73.58501720325856,long,1
19,EAC,Budongo,Sonso,13.11.18,0.70614,0.70614,0.70614,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,1,0.053567,53.56699999999999,Budongo (Sonso),Sonso (ZD),ZD,ASO1034 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.019599952698367,47.34607818970221,short,1.3082708345352603
19,EAC,Budongo,Sonso,13.11.18,0.70614,0.70614,0.70614,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,2,0.574485,574.485,Budongo (Sonso),Sonso (ZD),ZD,ASO1034 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.019599952698367,47.34607818970221,long,1.3082708345352603
19,EAC,Budongo,Sonso,13.11.18,0.70614,0.70614,0.70614,0,4,With,Let-Down,Let-Down,3,3,Same call as before but drummed on other tree in BUp after Climax/LD,Traveling,Traveling,Traveling,NV,NV,3,0.078086,78.086,Budongo (Sonso),Sonso (ZD),ZD,ASO1034 Sonso ZD single ph drum traveling.WAV,Sonso_ZD,1.019599952698367,47.34607818970221,short,1.3082708345352603
22,EAC,Budongo,Sonso,13.11.18,1.44673,1.44673,1.44673,0,4,With,Unk,Unk,0,0,Overlap with other calls,Traveling,Traveling,Traveling,NV,NV,1,0.071511,71.51100000000001,Budongo (Sonso),Sonso (FK),FK,"ASO1079 Sonso FK single ph drum ( beh data - traveling), unk_m single ph.WAV",Sonso_FK,1.1511472473355415,86.79084809194258,long,1.3082708345352603
22,EAC,Budongo,Sonso,13.11.18,1.44673,1.44673,1.44673,0,4,With,Unk,Unk,0,0,Overlap with other calls,Traveling,Traveling,Traveling,NV,NV,2,1.267031,1267.031,Budongo (Sonso),Sonso (FK),FK,"ASO1079 Sonso FK single ph drum ( beh data - traveling), unk_m single ph.WAV",Sonso_FK,1.1511472473355415,86.79084809194258,short,1.3082708345352603
22,EAC,Budongo,Sonso,13.11.18,1.44673,1.44673,1.44673,0,4,With,Unk,Unk,0,0,Overlap with other calls,Traveling,Traveling,Traveling,NV,NV,3,0.108184,108.184,Budongo (Sonso),Sonso (FK),FK,"ASO1079 Sonso FK single ph drum ( beh data - traveling), unk_m single ph.WAV",Sonso_FK,1.1511472473355415,86.79084809194258,long,1.3082708345352603
